,country,title_name,revision_id,article_quality,population,region
0,Afghanistan,Abas Basir,1098419766.0,C,41.1,SOUTH ASIA
1,Afghanistan,Abdul Baqi Turkistani,889226470.0,Stub,41.1,SOUTH ASIA
2,Afghanistan,Abdul Ghafar Lakanwal,943562276.0,Start,41.1,SOUTH ASIA
3,Afghanistan,Abdul Ghani Ghani,1072441893.0,Stub,41.1,SOUTH ASIA
4,Afghanistan,Abdul Malik Hamwar,1100874645.0,Stub,41.1,SOUTH ASIA
5,Afghanistan,Abdul Rahim Ayoubi,1108886061.0,Start,41.1,SOUTH ASIA
6,Afghanistan,Abdul Samad Ghaus,1072271854.0,Stub,41.1,SOUTH ASIA
7,Afghanistan,Ahmad Behzad,1103948295.0,Start,41.1,SOUTH ASIA
8,Afghanistan,Ahmadullah Wasiq,1109361754.0,Start,41.1,SOUTH ASIA
9,Afghanistan,Aimal Faizi,1033383351.0,Stub,41.1,SOUTH ASIA
10,Afghanistan,Alhaj Mutalib Baig,1111494041.0,Start,41.1,SOUTH ASIA
11,Afghanistan,Amir Muhammad Akhundzada,1069322182.0,Start,41.1,SOUTH ASIA
12,Afghanistan,Anarkali Kaur Honaryar,1069574154.0,Start,41.1,SOUTH ASIA
13,Afghanistan,Ashraf Ghani,1113195582.0,B,41.1,SOUTH ASIA
14,Afghanistan,Atiqullah Atifmal,1112407669.0,Start,41.1,SOUTH ASIA
15,Afghanistan,Aziza Ahmadyar,1087211008.0,Start,41.1,SOUTH ASIA
16,Afghanistan,Bashir Ahmad Bezan,1060707209.0,Start,41.1,SOUTH ASIA
17,Afghanistan,Cheragh Ali Cheragh,1087211968.0,Start,41.1,SOUTH ASIA
18,Afghanistan,Elay Ershad,1102489654.0,Stub,41.1,SOUTH ASIA
19,Afghanistan,Ezatullah (Nangarhar),947885788.0,Stub,41.1,SOUTH ASIA
20,Afghanistan,Ghulam Ghaus,1109361872.0,Stub,41.1,SOUTH ASIA
21,Afghanistan,Ghulam Haider Hamidi,1095018556.0,Start,41.1,SOUTH ASIA
22,Afghanistan,Ghulam Muhammad Ghobar,1108886395.0,Stub,41.1,SOUTH ASIA
23,Afghanistan,Haroon al-Afghani,1095102390.0,B,41.1,SOUTH ASIA
24,Afghanistan,Hashmat Ghani Ahmadzai,1112933356.0,C,41.1,SOUTH ASIA
25,Afghanistan,Ismael Balkhi,1112534409.0,Start,41.1,SOUTH ASIA
26,Afghanistan,Jan Baz,997027082.0,Stub,41.1,SOUTH ASIA
27,Afghanistan,Mahboba Hoqomal,1092518990.0,Stub,41.1,SOUTH ASIA
28,Afghanistan,Majah Ha Adrif,852404094.0,Start,41.1,SOUTH ASIA
29,Afghanistan,Mirza Muhammad Ismail,1073524466.0,C,41.1,SOUTH ASIA
30,Afghanistan,Mohammad Asim Asim,1013838830.0,Stub,41.1,SOUTH ASIA
31,Afghanistan,Mohammad Ghous Bashiri,1102150221.0,Start,41.1,SOUTH ASIA
32,Afghanistan,Mohammad Gul (Helmand Council),1092523687.0,Stub,41.1,SOUTH ASIA
33,Afghanistan,Mohammad Nasim Faqiri,1098051193.0,Start,41.1,SOUTH ASIA
34,Afghanistan,Mohammad Nazar Faqiri,1095525798.0,Stub,41.1,SOUTH ASIA
35,Afghanistan,Mohammad Sarwar Ahmedzai,1038918070.0,Start,41.1,SOUTH ASIA
36,Afghanistan,Mohammad Siddiq Chakari,1105913099.0,Stub,41.1,SOUTH ASIA
37,Afghanistan,Muhammad Hashim Esmatullahi,949986748.0,Stub,41.1,SOUTH ASIA
38,Afghanistan,Muqadasa Ahmadzai,1082489593.0,Start,41.1,SOUTH ASIA
39,Afghanistan,Musa Hotak,1094201417.0,Start,41.1,SOUTH ASIA
40,Afghanistan,Nasir Ahmad Durrani,988838315.0,Stub,41.1,SOUTH ASIA
41,Afghanistan,Nasrullah Baryalai Arsalai,1095526840.0,Start,41.1,SOUTH ASIA
42,Afghanistan,Qutbuddin Hilal,1104423275.0,Start,41.1,SOUTH ASIA
43,Afghanistan,Rafiullah Bidar,977208323.0,Stub,41.1,SOUTH ASIA
44,Afghanistan,Rangina Hamidi,1104280812.0,C,41.1,SOUTH ASIA
45,Afghanistan,Sayed Zafar Hashemi,1112804808.0,Start,41.1,SOUTH ASIA
46,Afghanistan,Shahjahan Noori,1099689043.0,GA,41.1,SOUTH ASIA
47,Afghanistan,Shahnaz Himmeti,909966254.0,Stub,41.1,SOUTH ASIA
48,Afghanistan,Sharif Ghalib,1041460606.0,B,41.1,SOUTH ASIA
49,Afghanistan,Tayyab Agha,1104998382.0,Start,41.1,SOUTH ASIA
50,Afghanistan,Abdul Karim Misaq,1052669338.0,Stub,41.1,SOUTH ASIA
51,Afghanistan,Abdul Majid Samim,1098092701.0,Stub,41.1,SOUTH ASIA
52,Afghanistan,Abdul Sattar Mirzakwal,1044450376.0,Stub,41.1,SOUTH ASIA
53,Afghanistan,Ahmad Massoud,1112608262.0,C,41.1,SOUTH ASIA
54,Afghanistan,Ahmad Wali Massoud,1108236868.0,Start,41.1,SOUTH ASIA
55,Afghanistan,Ahmed Wali Karzai,1090245979.0,GA,41.1,SOUTH ASIA
56,Afghanistan,Ali Maisam Nazary,1107279930.0,Start,41.1,SOUTH ASIA
57,Afghanistan,Ali Mohammad (politician),1050463798.0,Stub,41.1,SOUTH ASIA
58,Afghanistan,Amin Karim,1106333491.0,C,41.1,SOUTH ASIA
59,Afghanistan,Amrullah Saleh,1115022704.0,FA,41.1,SOUTH ASIA
60,Afghanistan,Azizullah Lodin,1102817004.0,Start,41.1,SOUTH ASIA
61,Afghanistan,Baran Khan Kudezai,1106151353.0,Start,41.1,SOUTH ASIA
62,Afghanistan,Daoud Naji,1110983467.0,Start,41.1,SOUTH ASIA
63,Afghanistan,Davood Moradian,1106284627.0,Stub,41.1,SOUTH ASIA
64,Afghanistan,Faizullah Kakar,1108932917.0,C,41.1,SOUTH ASIA
65,Afghanistan,Farida Kuchi,1109436134.0,Start,41.1,SOUTH ASIA
66,Afghanistan,Farzana Kochai,1079430136.0,Stub,41.1,SOUTH ASIA
67,Afghanistan,Fazal Haq Mujahid,1113267490.0,C,41.1,SOUTH ASIA
68,Afghanistan,Fazel Ahmed Manawi,1106464575.0,Stub,41.1,SOUTH ASIA
69,Afghanistan,Gholam Rabani Nasher,916899472.0,Stub,41.1,SOUTH ASIA
70,Afghanistan,Ghulam Faroq Nijrabi,1093612575.0,Stub,41.1,SOUTH ASIA
71,Afghanistan,Ghulam Hassan Safi,987269301.0,Stub,41.1,SOUTH ASIA
72,Afghanistan,Ghulam Mohammad Rigi,918256992.0,Stub,41.1,SOUTH ASIA
73,Afghanistan,Hafizullah Shabaz Khail,1092416288.0,Start,41.1,SOUTH ASIA
74,Afghanistan,Hanifa Safi,994195074.0,Stub,41.1,SOUTH ASIA
75,Afghanistan,Khadija Zahra Ahmadi,1115331693.0,Stub,41.1,SOUTH ASIA
76,Afghanistan,Masoud Khalili,1103105365.0,GA,41.1,SOUTH ASIA
77,Afghanistan,Moeen Marastial,1102907176.0,Start,41.1,SOUTH ASIA
78,Afghanistan,Mohammad Daud Miraki,1112192884.0,C,41.1,SOUTH ASIA
79,Afghanistan,Mohammad Khan (athlete),1070779097.0,Stub,41.1,SOUTH ASIA
80,Afghanistan,Mohammed Tahir Omar,996093541.0,Stub,41.1,SOUTH ASIA
81,Afghanistan,Mohammed Zia Salehi,889806024.0,Stub,41.1,SOUTH ASIA
82,Afghanistan,Muhammad Arif Sarwari,1079170926.0,Start,41.1,SOUTH ASIA
83,Afghanistan,Muhammad Yunus Nawandish,1111494390.0,C,41.1,SOUTH ASIA
84,Afghanistan,Murad Quenili,1093963498.0,Stub,41.1,SOUTH ASIA
85,Afghanistan,Nasrin Oryakhil,1097277701.0,Start,41.1,SOUTH ASIA
86,Afghanistan,Nasruddin Mohseni,1095044526.0,Start,41.1,SOUTH ASIA
87,Afghanistan,Rahmatullah Nabil,1112496538.0,Start,41.1,SOUTH ASIA
88,Afghanistan,Razaq Mamoon,1100189662.0,Start,41.1,SOUTH ASIA
89,Afghanistan,Rouh Gul Khairzad,925562571.0,Stub,41.1,SOUTH ASIA
90,Afghanistan,Saber Sangar,1019860497.0,Stub,41.1,SOUTH ASIA
91,Afghanistan,Said Tayeb Jawad,1093621927.0,C,41.1,SOUTH ASIA
92,Afghanistan,Samoud Khan,1010948755.0,Start,41.1,SOUTH ASIA
93,Afghanistan,Sardar Mohammad Nadir Naeem,1038680015.0,Stub,41.1,SOUTH ASIA
94,Afghanistan,Sayed Jalal,1078580238.0,Start,41.1,SOUTH ASIA
95,Afghanistan,Sayed Jalal Karim,1060701067.0,Start,41.1,SOUTH ASIA
96,Afghanistan,Sayed Nasim Mihanparast,1115496635.0,Stub,41.1,SOUTH ASIA
97,Afghanistan,Sayyid Husayn,1095559301.0,Stub,41.1,SOUTH ASIA
98,Afghanistan,Zabih-U-llah Ghazi Noristani,1001786762.0,Start,41.1,SOUTH ASIA
99,Afghanistan,Zalmai Mujadidi,1104635001.0,Start,41.1,SOUTH ASIA
100,Afghanistan,Abdul Ghafor Zori,994023417.0,Stub,41.1,SOUTH ASIA
101,Afghanistan,Abdul Salam Zaeef,1106388504.0,GA,41.1,SOUTH ASIA
102,Afghanistan,Abdul Zahir (Konar Education Minister),1097261199.0,Stub,41.1,SOUTH ASIA
103,Afghanistan,Al-Haj Suliman Yari,1092426408.0,Stub,41.1,SOUTH ASIA
104,Afghanistan,Awtar Singh,1115100619.0,Stub,41.1,SOUTH ASIA
105,Afghanistan,Baktash Siawash,1111917754.0,Stub,41.1,SOUTH ASIA
106,Afghanistan,Faramarz Tamanna,1106885861.0,C,41.1,SOUTH ASIA
107,Afghanistan,Gul Ahmmad Yama,1060707715.0,Start,41.1,SOUTH ASIA
108,Afghanistan,Hasan Ali Sultani,1060706902.0,Stub,41.1,SOUTH ASIA
109,Afghanistan,Mohammad Hashem Taufiqui,1021308429.0,Start,41.1,SOUTH ASIA
